Definitive chemoradiotherapy for esophageal cancer.,Proton therapy
Commercially available online adaptive therapy.,Photon therapy
Radiation as part of primary or salvage treatment of adult craniopharyngioma.,Proton therapy
Hodgkin lymphoma patients.,Proton therapy
High-dose pelvic node radiation therapy delivered for patients with pelvic node adenopathy.,Proton therapy
Radiosurgical treatment of liver metastases.,Proton therapy
Reduced the acute gastrointestinal toxicities associated with irradiation when treating children with brain tumors using craniospinal irradiation.,Proton therapy
Dose distribution more sensitive to anatomical heterogeneity.,Proton therapy
Retroperitoneal sarcoma.,Proton therapy
Localized unresectable hepatocellular carcinoma.,Proton therapy
Intracranial arteriovenous malformation.,Proton therapy
Higher LET and RBE near the distal edges could lead to higher severe toxicities.,Proton therapy
"Reduced adverse effects, particularly cognitive dysfunction for brain tumors.",Proton therapy
Reduced toxicities and hospitalization in the treatment of head and neck malignancies.,Proton therapy
Reduced symptom burden within 3 months after treatment for oropharyngeal cancer patients.,Proton therapy
Lower doses to hippocampi and other brain structures for skull-base meningiomas.,Proton therapy
Reduced dysphagia for patients with tumor in the upper head and neck area.,Proton therapy
Pediatric orbital rhabdomyosarcoma.,Proton therapy
Children and adolescent treated for craniopharyngioma using limited surgery and post-operation radiation.,Proton therapy
Lower risk of hypothyroidism among craniospinal irradiation patients.,Proton therapy
Lower vertebral bone marrow dose during chemoradiation therapy of esophageal cancer.,Proton therapy
Locally advanced pancreatic cancer.,Proton therapy
Vestibular schwannomas less than 3.0-4.0 cm in size.,Photon therapy
