Title,Authors,Abstract,Classifications,Submitted Date,arXiv identifier,DOI,BibTeX Entry,Abstract Summary by GPT-4 (5-16-23)
Segmentation by Test-Time Optimization (TTO) for CBCT-based Adaptive Radiation Therapy,"Xiao Liang, Jaehee Chun, Howard Morgan, Ti Bai, Dan Nguyen, Justin C. Park, Steve Jiang","Online adaptive radiotherapy (ART) requires accurate and efficient auto-segmentation of target volumes and organs-at-risk (OARs) in mostly cone-beam computed tomography (CBCT) images. Propagating expert-drawn contours from the pre-treatment planning CT (pCT) through traditional or deep learning (DL) based deformable image registration (DIR) can achieve improved results in many situations. Typical DL-based DIR models are population based, that is, trained with a dataset for a population of patients, so they may be affected by the generalizability problem. In this paper, we propose a method called test-time optimization (TTO) to refine a pre-trained DL-based DIR population model, first for each individual test patient, and then progressively for each fraction of online ART treatment. Our proposed method is less susceptible to the generalizability problem, and thus can improve overall performance of different DL-based DIR models by improving model accuracy, especially for outliers. Our experiments used data from 239 patients with head and neck squamous cell carcinoma to test the proposed method. Firstly, we trained a population model with 200 patients, and then applied TTO to the remaining 39 test patients by refining the trained population model to obtain 39 individualized models. We compared each of the individualized models with the population model in terms of segmentation accuracy. The number of patients with at least 0.05 DSC improvement or 2 mm HD95 improvement by TTO averaged over the 17 selected structures for the state-of-the-art architecture Voxelmorph is 10 out of 39 test patients. The average time for deriving the individualized model using TTO from the pre-trained population model is approximately four minutes. When adapting the individualized model to a later fraction of the same patient, the average time is reduced to about one minute and the accuracy is slightly improved.","Computer Vision and Pattern Recognition, Medical Physics","8 February, 2022",2202.03978,10.1002/mp.15960,"@misc{2202.03978,
      title={{Segmentation by Test-Time Optimization (TTO) for CBCT-based Adaptive Radiation Therapy}},
      author={{Xiao Liang and Jaehee Chun and Howard Morgan and Ti Bai and Dan Nguyen and Justin C. Park and Steve Jiang}},
      year={2022},
      eprint={2202.03978},
      archivePrefix={arXiv},
      primaryClass={Computer Vision and Pattern Recognition}
}","The study proposes a test-time optimization (TTO) method to refine pre-trained deep learning-based deformable image registration (DIR) population models for online adaptive radiotherapy. TTO improves the accuracy of auto-segmentation of target volumes and organs-at-risk in cone-beam computed tomography images. It reduces the generalizability problem and improves model accuracy, particularly for outliers. The method was tested on 239 patients with head and neck squamous cell carcinoma, showing improved segmentation accuracy in 10 out of 39 test patients. The average time to derive individualized models using TTO is about four minutes, and adaptation to later fractions is faster and slightly more accurate."
Interior point methods can exploit structure of convex piecewise linear functions with application in radiation therapy,Bram L. Gorissen,"Auxiliary variables are often used to model a convex piecewise linear function in the framework of linear optimization. This work shows that such variables yield a block diagonal plus low rank structure in the reduced KKT system of the dual problem. We show how the structure can be detected efficiently, and derive the linear algebra formulas for an interior point method which exploit such structure. The structure is detected in 36% of the cases in Netlib. Numerical results on the inverse planning problem in radiation therapy show an order of magnitude speed-up compared to the state-of-the-art interior point solver CPLEX, and considerable improvements in dose distribution compared to current algorithms.","Optimization and Control, Medical Physics","15 March, 2022",2112.00748,10.1137/21M1402364,"@misc{2112.00748,
      title={{Interior point methods can exploit structure of convex piecewise linear functions with application in radiation therapy}},
      author={{Bram L. Gorissen}},
      year={2022},
      eprint={2112.00748},
      archivePrefix={arXiv},
      primaryClass={Optimization and Control}
}",The study demonstrates that auxiliary variables in linear optimization can lead to a specific structure in the dual problem's reduced KKT system. The researchers efficiently detect this structure and develop linear algebra formulas for an interior point method that exploits it. This structure is found in 36% of Netlib cases. The new method results in significant speed improvements over the current interior point solver CPLEX and better dose distribution in radiation therapy applications.
DeepDoseNet: A Deep Learning model for 3D Dose Prediction in Radiation Therapy,"Mumtaz Hussain Soomro, Victor Gabriel Leandro Alves, Hamidreza Nourzadeh, Jeffrey V. Siebers","The DeepDoseNet 3D dose prediction model based on ResNet and Dilated DenseNet is proposed. The 340 head-and-neck datasets from the 2020 AAPM OpenKBP challenge were utilized, with 200 for training, 40 for validation, and 100 for testing. Structures include 56Gy, 63Gy, 70Gy PTVs, and brainstem, spinal cord, right parotid, left parotid, larynx, esophagus, and mandible OARs. Mean squared error (MSE) loss, mean absolute error (MAE) loss, and MAE plus dose-volume histogram (DVH) based loss functions were investigated. Each model's performance was compared using a 3D dose score, $\bar{S_{D}}$, (mean absolute difference between ground truth and predicted 3D dose distributions) and a DVH score, $\bar{S_{DVH}}$ (mean absolute difference between ground truth and predicted dose-volume metrics).Furthermore, DVH metrics Mean[Gy] and D0.1cc [Gy] for OARs and D99%, D95%, D1% for PTVs were computed. DeepDoseNet with the MAE plus DVH-based loss function had the best dose score performance of the OpenKBP entries. MAE+DVH model had the lowest prediction error (P<0.0001, Wilcoxon test) on validation and test datasets (validation: $\bar{S_{D}}$=2.3Gy, $\bar{S_{DVH}}$=1.9Gy; test: $\bar{S_{D}}$=2.0Gy, $\bar{S_{DVH}}$=1.6Gy) followed by the MAE model (validation: $\bar{S_{D}}$=3.6Gy, $\bar{S_{DVH}}$=2.4Gy; test: $\bar{S_{D}}$=3.5Gy, $\bar{S_{DVH}}$=2.3Gy). The MSE model had the highest prediction error (validation: $\bar{S_{D}}$=3.7Gy, $\bar{S_{DVH}}$=3.2Gy; test: $\bar{S_{D}}$=3.6Gy, $\bar{S_{DVH}}$=3.0Gy). No significant difference was found among models in terms of Mean [Gy], but the MAE+DVH model significantly outperformed the MAE and MSE models in terms of D0.1cc[Gy], particularly for mandible and parotids on both validation (P<0.01) and test (P<0.0001) datasets. MAE+DVH outperformed (P<0.0001) in terms of D99%, D95%, D1% for targets. MAE+DVH reduced $\bar{S_{D}}$ by ~60% and $\bar{S_{DVH}}$ by ~70%.","Medical Physics, Artificial Intelligence, Computer Vision and Pattern Recognition, Machine Learning, Image and Video Processing","29 October, 2021",2111.00077,,"@misc{2111.00077,
      title={{DeepDoseNet: A Deep Learning model for 3D Dose Prediction in Radiation Therapy}},
      author={{Mumtaz Hussain Soomro and Victor Gabriel Leandro Alves and Hamidreza Nourzadeh and Jeffrey V. Siebers}},
      year={2021},
      eprint={2111.00077},
      archivePrefix={arXiv},
      primaryClass={Medical Physics}
}","The DeepDoseNet 3D dose prediction model, based on ResNet and Dilated DenseNet, was tested on 340 head-and-neck datasets from the 2020 AAPM OpenKBP challenge. Its performance was compared using mean squared error (MSE) loss, mean absolute error (MAE) loss, and MAE plus dose-volume histogram (DVH) based loss functions. Results showed that DeepDoseNet with the MAE+DVH loss function had the best dose score performance and significantly outperformed other models in terms of dose prediction accuracy, reducing prediction errors by approximately 60-70%."
Finite-element modeling of the alpha particle dose of realistic sources used in Diffusing Alpha-emitters Radiation Therapy,"Guy Heger, Lior Arazi","Diffusing Alpha-emitters Radiation Therapy (DaRT) is a new method for treating solid tumors using alpha particles. Unlike conventional radiotherapy, where the physical models for dose calculations are known and routinely used, for DaRT a new framework, called the Diffusion-Leakage (DL) model, had to be developed. In this work we provide a detailed description of a finite-element numerical scheme for solving the time-dependent DL model equations for cylindrical DaRT sources (``seeds'') of finite diameter and length in two dimensions. Using a fully-implicit scheme and adaptive time step, this approach allows to accurately follow temporal transients ranging from seconds to days. In addition to the full two-dimensional calculation, we further provide a closed-form approximation and a simple one-dimensional scheme to solve the equations for infinitely-long cylindrical sources. These simpler solutions can be used both to validate the two-dimensional code and to enable efficient parameter scans to study the properties of DaRT seed lattices. We compare these approximations to the full 2D solution over the relevant parameter space, providing guidelines on their usability and limitations.",Medical Physics,"6 November, 2021",2111.03939,,"@misc{2111.03939,
      title={{Finite-element modeling of the alpha particle dose of realistic sources used in Diffusing Alpha-emitters Radiation Therapy}},
      author={{Guy Heger and Lior Arazi}},
      year={2021},
      eprint={2111.03939},
      archivePrefix={arXiv},
      primaryClass={Medical Physics}
}","DaRT is a new method for treating solid tumors using alpha particles. The Diffusion-Leakage (DL) model was developed for this treatment, and this study details a finite-element numerical scheme for solving the model's equations for cylindrical DaRT sources. The fully-implicit approach used in this study allows for accurate representation of time-dependent behavior. The researchers also provide simpler solutions for validation and parameter scans. This comparison helps establish guidelines on the usability and limitations of these approximations."
Meta-optimization for Fully Automated Radiation Therapy Treatment Planning,"Charles Huang, Yusuke Nomura, Yong Yang, Lei Xing","Objective: Radiation therapy treatment planning is a time-consuming process involving iterative adjustments of hyperparameters. To automate the treatment planning process, we propose a meta-optimization framework, called MetaPlanner (MP). Methods: Our MP algorithm automates planning by performing optimization of treatment planning hyperparameters. The algorithm uses a derivative-free method (i.e. parallel Nelder-Mead simplex search) to search for weight configurations that minimize a meta-scoring function. Meta-scoring is performed by constructing a tier list of the relevant considerations (e.g. dose homogeneity, conformity, spillage, and OAR sparing) to mimic the clinical decision-making process. Additionally, we have made our source code publicly available via github. Results: The proposed MP method is evaluated on two datasets (21 prostate cases and 6 head and neck cases) collected as part of clinical workflow. MP is applied to both IMRT and VMAT planning and compared to a baseline of manual VMAT plans. MP in both IMRT and VMAT scenarios has comparable or better performance than manual VMAT planning for all evaluated metrics. Conclusion: Our proposed MP provides a general framework for fully automated treatment planning that produces high quality treatment plans. Significance: Our MP method promises to substantially reduce the workload of treatment planners while maintaining or improving plan quality.",Medical Physics,"20 October, 2021",2110.10733,10.1088/1361-6560/ac5672,"@misc{2110.10733,
      title={{Meta-optimization for Fully Automated Radiation Therapy Treatment Planning}},
      author={{Charles Huang and Yusuke Nomura and Yong Yang and Lei Xing}},
      year={2021},
      eprint={2110.10733},
      archivePrefix={arXiv},
      primaryClass={Medical Physics}
}","The study proposes MetaPlanner (MP), an algorithm for automating the radiation therapy treatment planning process by optimizing hyperparameters. MP uses a derivative-free method to search for weight configurations and minimizes a meta-scoring function that considers various factors. Tested on two different clinical datasets, MP showed comparable or better performance compared to manual planning methods. By automating the treatment planning process, MP has the potential to reduce workload and maintain or improve plan quality."
New dosimetry planning strategy based on continuous dose gradient used to reduce dose estimation errors due to respiratory motion in breast radiation therapy,"Mazen Moussallem, Pauline Harb, Hanane Rima, Zeina Al Kattar, Saad Ayoubi","A new strategy for radiation therapy dosimetry planning (RTDP) used to reduce dose estimation errors due to respiratory motion in breast treatment was illustrated and evaluated in this study. On CT data set acquired for breast treatment, six different RTDP tangential techniques were performed: (i) three-dimensional conformal radiotherapy (3DCRT) with physical wedge, (ii) 3DCRT with virtual wedge, (iii) motion management technique (MMT) with physical wedge, (iv) MMT with virtual wedge, (v) 3DCRT with field-in-field, and (vi) intensity-modulated radiation therapy (IMRT) with direct aperture optimization. These anti-motion techniques were considered to generate continuous dose degradation to avoid drastic changes in the delivered doses that involve the edge regions of the beams. A comparison was made between the delivered and simulated doses, with and without the presence of motions simulations. This study demonstrates that techniques without motion management can be affected by motions that can lead to a difference equal to 19 % between the delivered and the planned doses in a point located near to the beams collimators edges, and to a difference up to 3 % on multi-leaf collimators (MLCs) edges (gamma pass rates were 87.9 % for 3%/3mm). These differences were reduced to 11 % and to less than 3 % (gamma pass rates were 100 % for 3%/3mm) when MMT were used. As a conclusion, in tangential techniques motion can affect dose estimations on the MLCs and beams collimators edges. The proposed MMT reduce this effect to estimate the delivered dose accurately.",Medical Physics,"19 October, 2021",2110.10089,,"@misc{2110.10089,
      title={{New dosimetry planning strategy based on continuous dose gradient used to reduce dose estimation errors due to respiratory motion in breast radiation therapy}},
      author={{Mazen Moussallem and Pauline Harb and Hanane Rima and Zeina Al Kattar and Saad Ayoubi}},
      year={2021},
      eprint={2110.10089},
      archivePrefix={arXiv},
      primaryClass={Medical Physics}
}","This study focuses on a new strategy for radiation therapy dosimetry planning to reduce dose estimation errors due to respiratory motion in breast treatment. Six different techniques were evaluated, with a focus on motion management techniques (MMT). Results showed that techniques without motion management were affected by motions, leading to significant differences between delivered and planned doses. However, when MMT was used, these differences were reduced allowing for more accurate dose estimations."
Probabilistic Pareto plan generation for semiautomated multicriteria radiation therapy treatment planning,"Tianfang Zhang, Rasmus Bokrantz, Jimmy Olsson","Objective: We propose a semiautomatic pipeline for radiation therapy treatment planning, combining ideas from machine learning-automated planning and multicriteria optimization (MCO).
  Approach: Using knowledge extracted from historically delivered plans, prediction models for spatial dose and dose statistics are trained and furthermore systematically modified to simulate changes in tradeoff priorities, creating a set of differently biased predictions. Based on the predictions, an MCO problem is subsequently constructed using previously developed dose mimicking functions, designed in such a way that its Pareto surface spans the range of clinically acceptable yet realistically achievable plans as exactly as possible. The result is an algorithm outputting a set of Pareto optimal plans, either fluence-based or machine parameter-based, which the user can navigate between in real time to make adjustments before a final deliverable plan is created.
  Main results: Numerical experiments performed on a dataset of prostate cancer patients show that one may often navigate to a better plan than one produced by a single-plan-output algorithm.
  Significance: We demonstrate the potential of merging MCO and a data-driven workflow to automate labor-intensive parts of the treatment planning process while maintaining a certain extent of manual control for the user.",Medical Physics,"18 January, 2022",2110.0541,10.1088/1361-6560/ac4da5,"@misc{2110.05410,
      title={{Probabilistic Pareto plan generation for semiautomated multicriteria radiation therapy treatment planning}},
      author={{Tianfang Zhang and Rasmus Bokrantz and Jimmy Olsson}},
      year={2022},
      eprint={2110.05410},
      archivePrefix={arXiv},
      primaryClass={Medical Physics}
}","The study proposes a semiautomatic pipeline for radiation therapy treatment planning that combines machine learning and multicriteria optimization (MCO) techniques. By using knowledge from historic plans, the algorithm creates a set of Pareto optimal plans which can be adjusted by the user before finalizing a deliverable plan. This method has the potential to automate labor-intensive parts of the treatment planning process while still allowing manual control for adjustments. Experiments conducted on prostate cancer patients show that this approach can often lead to better plans than single-plan-output algorithms."
Robust automated radiation therapy treatment planning using scenario-specific dose prediction and robust dose mimicking,"Oskar Eriksson, Tianfang Zhang","Purpose: We present a framework for robust automated treatment planning using machine learning, comprising scenario-specific dose prediction and robust dose mimicking.
  Methods: The scenario dose prediction pipeline is divided into the prediction of nominal dose from input image and the prediction of scenario dose from nominal dose, each using a deep learning model with U-net architecture. By using a specially developed dose-volume histogram-based loss function, the predicted scenario doses are ensured sufficient target coverage despite the possibility of the training data being non-robust. Deliverable plans may then be created by solving a robust dose mimicking problem with the predictions as scenario-specific reference doses.
  Results: Numerical experiments are performed using a dataset of 52 intensity-modulated proton therapy plans for prostate patients. We show that the predicted scenario doses resemble their respective ground truth well, in particular while having target coverage comparable to that of the nominal scenario. The deliverable plans produced by the subsequent robust dose mimicking were showed to be robust against the same scenario set considered for prediction.
  Conclusions: We demonstrate the feasibility and merits of the proposed methodology for incorporating robustness into automated treatment planning algorithms.",Medical Physics,"16 February, 2022",2110.09984,10.1002/mp.15622,"@misc{2110.09984,
      title={{Robust automated radiation therapy treatment planning using scenario-specific dose prediction and robust dose mimicking}},
      author={{Oskar Eriksson and Tianfang Zhang}},
      year={2022},
      eprint={2110.09984},
      archivePrefix={arXiv},
      primaryClass={Medical Physics}
}","This study presents a framework for robust automated treatment planning using machine learning, specifically for intensity-modulated proton therapy plans for prostate patients. The framework ensures target coverage using a dose-volume histogram-based loss function and a deep learning model with U-net architecture. Results show that predicted scenario doses are accurate and robust against various scenarios, demonstrating the potential benefits of incorporating this methodology into automated treatment planning algorithms."
Operator Splitting for Adaptive Radiation Therapy with Nonlinear Health Dynamics,"Anqi Fu, Lei Xing, Stephen Boyd","We present an optimization-based approach to radiation treatment planning over time. Our approach formulates treatment planning as an optimal control problem with nonlinear patient health dynamics derived from the standard linear-quadratic cell survival model. As the formulation is nonconvex, we propose a method for obtaining an approximate solution by solving a sequence of convex optimization problems. This method is fast, efficient, and robust to model error, adapting readily to changes in the patient's health between treatment sessions. Moreover, we show that it can be combined with the operator splitting method ADMM to produce an algorithm that is highly scalable and can handle large clinical cases. We introduce an open-source Python implementation of our algorithm, AdaRad, and demonstrate its performance on several examples.","Medical Physics, Computational Engineering, Finance, and Science, Optimization and Control","13 May, 2022",2105.01286,,"@misc{2105.01286,
      title={{Operator Splitting for Adaptive Radiation Therapy with Nonlinear Health Dynamics}},
      author={{Anqi Fu and Lei Xing and Stephen Boyd}},
      year={2022},
      eprint={2105.01286},
      archivePrefix={arXiv},
      primaryClass={Medical Physics}
}","The researchers present an optimization-based approach for radiation treatment planning over time. They formulate the treatment planning as an optimal control problem with nonlinear patient health dynamics. To obtain an approximate solution for their nonconvex formulation, they propose solving a sequence of convex optimization problems, which is fast, efficient, and adaptable to patients' health changes. They combine their method with ADMM to create a scalable algorithm for large clinical cases and provide an open-source Python implementation called AdaRad."
"Evaluating Large Language Models on a Highly-specialized Topic, Radiation Oncology Physics","Jason Holmes, Zhengliang Liu, Lian Zhang, Yuzhen Ding, Terence T. Sio, Lisa A. McGee, Jonathan B. Ashman, Xiang Li, Tianming Liu, Jiajian Shen, Wei Liu","We present the first study to investigate Large Language Models (LLMs) in answering radiation oncology physics questions. Because popular exams like AP Physics, LSAT, and GRE have large test-taker populations and ample test preparation resources in circulation, they may not allow for accurately assessing the true potential of LLMs. This paper proposes evaluating LLMs on a highly-specialized topic, radiation oncology physics, which may be more pertinent to scientific and medical communities in addition to being a valuable benchmark of LLMs. We developed an exam consisting of 100 radiation oncology physics questions based on our expertise at Mayo Clinic. Four LLMs, ChatGPT (GPT-3.5), ChatGPT (GPT-4), Bard (LaMDA), and BLOOMZ, were evaluated against medical physicists and non-experts. ChatGPT (GPT-4) outperformed all other LLMs as well as medical physicists, on average. The performance of ChatGPT (GPT-4) was further improved when prompted to explain first, then answer. ChatGPT (GPT-3.5 and GPT-4) showed a high level of consistency in its answer choices across a number of trials, whether correct or incorrect, a characteristic that was not observed in the human test groups. In evaluating ChatGPTs (GPT-4) deductive reasoning ability using a novel approach (substituting the correct answer with ""None of the above choices is the correct answer.""), ChatGPT (GPT-4) demonstrated surprising accuracy, suggesting the potential presence of an emergent ability. Finally, although ChatGPT (GPT-4) performed well overall, its intrinsic properties did not allow for further improvement when scoring based on a majority vote across trials. In contrast, a team of medical physicists were able to greatly outperform ChatGPT (GPT-4) using a majority vote. This study suggests a great potential for LLMs to work alongside radiation oncology experts as highly knowledgeable assistants.","Medical Physics, Computation and Language, Physics Education","1 April, 2023",2304.01938,,"@misc{2304.01938,
      title={{Evaluating Large Language Models on a Highly-specialized Topic, Radiation Oncology Physics}},
      author={{Jason Holmes and Zhengliang Liu and Lian Zhang and Yuzhen Ding and Terence T. Sio and Lisa A. McGee and Jonathan B. Ashman and Xiang Li and Tianming Liu and Jiajian Shen and Wei Liu}},
      year={2023},
      eprint={2304.01938},
      archivePrefix={arXiv},
      primaryClass={Medical Physics}
}","This study investigates the ability of Large Language Models (LLMs) to answer radiation oncology physics questions, which are more specialized than popular exams like AP Physics or GRE. An exam with 100 questions was developed to evaluate four LLMs, comparing them to medical physicists and non-experts. ChatGPT (GPT-4) outperformed all other LLMs and medical physicists on average. The performance improved when prompted to explain first, then answer. However, ChatGPT's intrinsic properties limited further improvement using majority vote, while medical physicists' performance greatly improved with a majority vote. The study suggests LLMs have potential to serve as knowledgeable assistants to radiation oncology experts."
Benchmarking ChatGPT-4 on ACR Radiation Oncology In-Training (TXIT) Exam and Red Journal Gray Zone Cases: Potentials and Challenges for AI-Assisted Medical Education and Decision Making in Radiation Oncology,"Yixing Huang, Ahmed Gomaa, Thomas Weissmann, Johanna Grigo, Hassen Ben Tkhayat, Benjamin Frey, Udo S. Gaipl, Luitpold V. Distel, Andreas Maier, Christoph Bert, Rainer Fietkau, Florian Putz","The potential of large language models in medicine for education and decision making purposes has been demonstrated as they achieve decent scores on medical exams such as the United States Medical Licensing Exam (USMLE) and the MedQA exam. In this work, we evaluate the performance of ChatGPT-4 in the specialized field of radiation oncology using the 38th American College of Radiology (ACR) radiation oncology in-training (TXIT) exam and the 2022 red journal gray zone cases. For the TXIT exam, ChatGPT-3.5 and ChatGPT-4 have achieved the scores of 63.65% and 74.57%, respectively, highlighting the advantage of the latest ChatGPT-4 model. Based on the TXIT exam, ChatGPT-4's strong and weak areas in radiation oncology are identified to some extent. Specifically, ChatGPT-4 demonstrates good knowledge of statistics, CNS & eye, pediatrics, biology, and physics but has limitations in bone & soft tissue and gynecology, as per the ACR knowledge domain. Regarding clinical care paths, ChatGPT-4 performs well in diagnosis, prognosis, and toxicity but lacks proficiency in topics related to brachytherapy and dosimetry, as well as in-depth questions from clinical trials. For the gray zone cases, ChatGPT-4 is able to suggest a personalized treatment approach to each case and achieves comparable votes (28.76% on average) to human experts in general. Most importantly, it provides complementary suggestion to the recommendation from a single expert. Both evaluations have demonstrated the potential of ChatGPT in medical education for the general public and cancer patients, as well as the potential to aid clinical decision-making, while acknowledging its limitations in certain domains.","Medical Physics, Computation and Language","9 May, 2023",2304.11957,,"@misc{2304.11957,
      title={{Benchmarking ChatGPT-4 on ACR Radiation Oncology In-Training (TXIT) Exam and Red Journal Gray Zone Cases: Potentials and Challenges for AI-Assisted Medical Education and Decision Making in Radiation Oncology}},
      author={{Yixing Huang and Ahmed Gomaa and Thomas Weissmann and Johanna Grigo and Hassen Ben Tkhayat and Benjamin Frey and Udo S. Gaipl and Luitpold V. Distel and Andreas Maier and Christoph Bert and Rainer Fietkau and Florian Putz}},
      year={2023},
      eprint={2304.11957},
      archivePrefix={arXiv},
      primaryClass={Medical Physics}
}","ChatGPT-4, a large language model, has shown promise in the field of radiation oncology by performing well on the 38th ACR radiation oncology in-training exam and the 2022 red journal gray zone cases. While it scored better than past versions, it still has limitations in certain areas like gynecology and brachytherapy. Despite these limitations, ChatGPT-4 demonstrates potential as a tool for medical education and decision-making support, offering personalized treatment suggestions and complementing expert recommendations."
Multiscale Monte Carlo simulations of gold nanoparticle dose-enhanced radiotherapy II. Cellular dose enhancement within macroscopic tumor models,"Martin P. Martinov, Elizabeth M. Fletcher, Rowan M. Thomson","Purpose: To develop and apply multiscale Monte Carlo (MC) simulations to assess variations in nucleus and cytoplasm dose enhancement factors (n,cDEFs) over tumor-scale volumes. Methods: The intrinsic variation of n,cDEFs (due to variations in local gold concentration and cell/nucleus size) are estimated via MC modeling of varied cellular GNP uptake and cell/nucleus sizes. Then, a Heterogeneous MultiScale (HetMS) model is implemented by combining detailed models of populations of cells containing GNPs with simplified tissue models to evaluate n,cDEFs. Simulations of tumors with spatially-uniform and -varying gold concentrations are performed to determine n,cDEFs as a function of distance from the source. All simulations are performed for three different GNP configurations: GNPs distributed around the nucleus or packed into one or four endosome(s). Results: Intrinsic variations in n,cDEFs can be substantial with changes in GNP uptake and cell/nucleus radii. In HetMS models of tumors, sub-unity n,cDEFs (dose decreases) can occur for low energies and high gold concentrations due to attenuation of primary photons through the gold. In HetMS simulations of tumors with spatially-uniform gold concentrations, n,cDEFs decrease with depth into the tumor as photons are attenuated, with relative differences between GNP models remaining approximately constant with depth in the tumor. Similar initial n,cDEF decreases with radius are seen in tumors with spatially-varying gold concentrations, but n,cDEFs for all configurations converge to a single value for each energy as gold concentration reaches zero. Conclusions: These results demonstrate that cellular doses are highly sensitive to cell/nucleus size, GNP intracellular distribution, gold concentration, and cell position in the tumor. This work demonstrates the importance of proper choice of computational model when simulating GNPT scenarios.",Medical Physics,"2 May, 2023",2305.01731,,"@misc{2305.01731,
      title={{Multiscale Monte Carlo simulations of gold nanoparticle dose-enhanced radiotherapy II. Cellular dose enhancement within macroscopic tumor models}},
      author={{Martin P. Martinov and Elizabeth M. Fletcher and Rowan M. Thomson}},
      year={2023},
      eprint={2305.01731},
      archivePrefix={arXiv},
      primaryClass={Medical Physics}
}","The study developed multiscale Monte Carlo simulations to assess variations in nucleus and cytoplasm dose enhancement factors (n,cDEFs) in tumor-scale volumes. Results showed that cellular doses are highly sensitive to cell/nucleus size, gold nanoparticle (GNP) intracellular distribution, gold concentration, and cell position in the tumor. The research highlights the importance of choosing the correct computational model when simulating gold nanoparticle therapy scenarios."
Dosimetric characterization of single- and dual-port temporary tissue expanders for postmastectomy radiotherapy using Monte Carlo methods,"Jose Ramos-Méndez, Catherine Park, Manju Sharma","Purpose: The aim of this work was, a) to assess two treatment planning strategies for accounting CT-artifacts introduced by temporary tissue-expanders(TTEs); b) to evaluate the dosimetric impact of two commercially available and one novel TTE. MethodsThe CT artifacts were managed using two strategies. 1) Identifying the metal in the RayStation treatment planning software (TPS) using image window level adjustments, delineate a contour enclosing the artifact, and setting the density of the surrounding voxels to unity (RS1). 2) Registering a geometry template with dimensions and materials from the TTEs (RS2). Both strategies were compared for DermaSpan, AlloX2, and AlloX2-Pro TTEs using Collapsed-Cone-Convolution (CCC) in RayStation TPS, Monte Carlo simulations (MC) using TOPAS, and films. Wax slab phantoms with TTEs and breast phantoms with TTEs balloons were made and irradiated with a 6 MV AP beam and partial arc, respectively. Results: For the wax slab phantoms, the dose differences between RS1 and RS2 were 0.5% for DermaSpan and AlloX2 but 3% for AlloX2-Pro. From TOPAS simulations of RS2, the impact in dose distributions caused by the magnet attenuation was (6.4+-0.4)%, (4.9+-0.7)%, and (2.0+-0.9)% for DermaSpan, AlloX2, and AlloX2-Pro. With breast phantoms, maximum differences in DVH parameters between RS1 and RS2 were as follows. For AlloX2 at the posterior region: (2.1+-1.0)%, (1.9+-1.0)% and (1.4+-1.0)% for D1, D10, and average dose, respectively. For AlloX2-Pro at the anterior region (-1.0+-1.0)%, (-0.6+-1.0)% and (-0.6+-1.0)% for D1, D10 and average dose, respectively. The impact in D10 caused by the magnet was at most (5.5+-1.0)% and (-0.8+-1.0)% for AlloX2 and AlloX2-Pro, respectively. Conclusion: This study showed that the highest differences with respect to measurements occurred with RS1 and can be mitigated if a template with the actual port geometry and materials is used.",Medical Physics,"5 May, 2023",2305.03636,10.3389/fonc.2023.1124838,"@misc{2305.03636,
      title={{Dosimetric characterization of single- and dual-port temporary tissue expanders for postmastectomy radiotherapy using Monte Carlo methods}},
      author={{Jose Ramos-Méndez and Catherine Park and Manju Sharma}},
      year={2023},
      eprint={2305.03636},
      archivePrefix={arXiv},
      primaryClass={Medical Physics}
}","This study aimed to assess two treatment planning strategies for accounting CT-artifacts introduced by temporary tissue-expanders (TTEs) and to evaluate the dosimetric impact of different TTEs. Results showed that the highest differences occurred with the first planning strategy, which can be mitigated by using a template with the actual port geometry and materials. The study also found that dosimetric impact varied depending on the TTE used."
