Question,Answer_choice,Correct_or_not
23. Why is TMR always larger than PDD at depths larger than dmax?,B. PDD includes beam attenuation but does not include beam divergence.,0
23. Why is TMR always larger than PDD at depths larger than dmax?,C. TMR includes both beam attenuation and beam divergence.,0
23. Why is TMR always larger than PDD at depths larger than dmax?,D. TMR does not include beam attenuation but does include beam divergence.,0
24. Which of the following changes will result in a larger geometric penumbra?,A. Increasing SSD.,1
24. Which of the following changes will result in a larger geometric penumbra?,B. Increasing the source to collimator distance.,0
24. Which of the following changes will result in a larger geometric penumbra?,C. Reducing the source size.,0
24. Which of the following changes will result in a larger geometric penumbra?,D. Move the patient closer to the collimator.,0
"25. The output of a 6 MV beam is 1 cGy/MU at SSD=100 cm, depth=1.5 cm and field size 10 cm x10 cm. What is the output at SSD=98.5 cm, depth=1.5 cm and field size 10 cm x10 cm?",A. 0.985 cGy/MU,0
"25. The output of a 6 MV beam is 1 cGy/MU at SSD=100 cm, depth=1.5 cm and field size 10 cm x10 cm. What is the output at SSD=98.5 cm, depth=1.5 cm and field size 10 cm x10 cm?",B. 0.97 cGy/MU,0
"25. The output of a 6 MV beam is 1 cGy/MU at SSD=100 cm, depth=1.5 cm and field size 10 cm x10 cm. What is the output at SSD=98.5 cm, depth=1.5 cm and field size 10 cm x10 cm?",C. 1.015 cGy/MU,0
"25. The output of a 6 MV beam is 1 cGy/MU at SSD=100 cm, depth=1.5 cm and field size 10 cm x10 cm. What is the output at SSD=98.5 cm, depth=1.5 cm and field size 10 cm x10 cm?",D. 1.03 cGy/MU,1
"26. For a single field SAD treatment, the output at dmax is 1.02 cGy and the TMR at depth 10 cm is 0.7. What is the MU needed to delivery 100 cGy at depth 10 cm?",A. 100,0
"26. For a single field SAD treatment, the output at dmax is 1.02 cGy and the TMR at depth 10 cm is 0.7. What is the MU needed to delivery 100 cGy at depth 10 cm?",B. 102,0
"26. For a single field SAD treatment, the output at dmax is 1.02 cGy and the TMR at depth 10 cm is 0.7. What is the MU needed to delivery 100 cGy at depth 10 cm?",C. 140,1
"26. For a single field SAD treatment, the output at dmax is 1.02 cGy and the TMR at depth 10 cm is 0.7. What is the MU needed to delivery 100 cGy at depth 10 cm?",D. 160,0
27. What wedge angle will produce the most uniform dose distribution for two treatment fields separated by 100o?,A. 30o,0
27. What wedge angle will produce the most uniform dose distribution for two treatment fields separated by 100o?,B. 40o,1
27. What wedge angle will produce the most uniform dose distribution for two treatment fields separated by 100o?,C. 50o,0
27. What wedge angle will produce the most uniform dose distribution for two treatment fields separated by 100o?,D. 60o,0
"28. A patient’s spine is treated by two adjacent fields with SSD=100 cm. The field lengths (symmetrical fields) in the superior-inferior directions are 20 cm and 24 cm, respectively. What is the gap in the skin to match the two spine fields at depth 10 cm?",A. 1.0 cm,0
"28. A patient’s spine is treated by two adjacent fields with SSD=100 cm. The field lengths (symmetrical fields) in the superior-inferior directions are 20 cm and 24 cm, respectively. What is the gap in the skin to match the two spine fields at depth 10 cm?",B. 1.5 cm,0
"28. A patient’s spine is treated by two adjacent fields with SSD=100 cm. The field lengths (symmetrical fields) in the superior-inferior directions are 20 cm and 24 cm, respectively. What is the gap in the skin to match the two spine fields at depth 10 cm?",C. 2.0 cm,0
"28. A patient’s spine is treated by two adjacent fields with SSD=100 cm. The field lengths (symmetrical fields) in the superior-inferior directions are 20 cm and 24 cm, respectively. What is the gap in the skin to match the two spine fields at depth 10 cm?",D. 2.2 cm,1
"29. For a craniospinal treatment treated with symmetrical fields, the field length for the upper spine field is 25 cm, and the field size for the lateral cranial fields are 20 cm x 20 cm. What is the collimator rotation angle for the cranial fields to align with the divergence of the spine fields?",A. 3o,0
"29. For a craniospinal treatment treated with symmetrical fields, the field length for the upper spine field is 25 cm, and the field size for the lateral cranial fields are 20 cm x 20 cm. What is the collimator rotation angle for the cranial fields to align with the divergence of the spine fields?",B. 5o,0
"29. For a craniospinal treatment treated with symmetrical fields, the field length for the upper spine field is 25 cm, and the field size for the lateral cranial fields are 20 cm x 20 cm. What is the collimator rotation angle for the cranial fields to align with the divergence of the spine fields?",C. 7o,1
"29. For a craniospinal treatment treated with symmetrical fields, the field length for the upper spine field is 25 cm, and the field size for the lateral cranial fields are 20 cm x 20 cm. What is the collimator rotation angle for the cranial fields to align with the divergence of the spine fields?",D. 9o,0
30. The dose-volume-histogram (DVH) contains the following information except:,A. Location of the hot spot,1
30. The dose-volume-histogram (DVH) contains the following information except:,B. Mean dose,0
30. The dose-volume-histogram (DVH) contains the following information except:,C. Minimum dose,0
30. The dose-volume-histogram (DVH) contains the following information except:,D. Maximum dose,0
31. What dose D5%=20 Gy to the heart on a DVH curve means?,A. 5% of the heart receives exactly 20 Gy.,0
31. What dose D5%=20 Gy to the heart on a DVH curve means?,B. 5% of the heart receives less than 20 Gy.,0
31. What dose D5%=20 Gy to the heart on a DVH curve means?,C. 95% of the heart receives more than 20 Gy.,0
31. What dose D5%=20 Gy to the heart on a DVH curve means?,D. 95% of the heart receives less than 20 Gy.,1
32. Which of the following parameters is sometimes changed by the dosimetrist during treatment planning?,A. Dose for each treatment fraction,0
32. Which of the following parameters is sometimes changed by the dosimetrist during treatment planning?,B. Total treatment dose,0
32. Which of the following parameters is sometimes changed by the dosimetrist during treatment planning?,C. Number of treatment fractions,0
32. Which of the following parameters is sometimes changed by the dosimetrist during treatment planning?,D. Number of beams,1
"33. For electron radiation therapy, which electron energy has the minimum PDD on the surface?",A. 6 MeV,1
"33. For electron radiation therapy, which electron energy has the minimum PDD on the surface?",B. 9 MeV,0
"33. For electron radiation therapy, which electron energy has the minimum PDD on the surface?",C. 12 MeV,0
"33. For electron radiation therapy, which electron energy has the minimum PDD on the surface?",D. 16 MeV,0
"33. For electron radiation therapy, which electron energy has the minimum PDD on the surface?",E. 20 MeV,0
34. Electron PDD has a low dose tail after the practical range. Which physical process is related to the generation of this tail?,A. Compton scattering,0
34. Electron PDD has a low dose tail after the practical range. Which physical process is related to the generation of this tail?,B. Bremsstrahlung radiation,1
34. Electron PDD has a low dose tail after the practical range. Which physical process is related to the generation of this tail?,C. Characteristic x-rays,0
34. Electron PDD has a low dose tail after the practical range. Which physical process is related to the generation of this tail?,D. Pair production,0
35. Which of the following treatments is suitable for SSD setup?,A. Four fields box for a pelvic treatment,0
35. Which of the following treatments is suitable for SSD setup?,B. Multiple fields IMRT treatment,0
35. Which of the following treatments is suitable for SSD setup?,C. Electron boost to chest wall of breast cancer,1
35. Which of the following treatments is suitable for SSD setup?,D. VMAT treatment with two arcs,0
36. Which of the following statements is true for electron effective SSD?,A. It increases with increasing electron energy.,1
36. Which of the following statements is true for electron effective SSD?,B. It is equal to the distance from the x-ray sources to the isocenter.,0
36. Which of the following statements is true for electron effective SSD?,C. It is larger than the distance from the x-ray sources to the isocenter.,0
36. Which of the following statements is true for electron effective SSD?,D. It is independent of electron energy.,0
37. What is the range of a 6 MeV electron beam in the lung (0.25 g/cm3)?,A. 3 cm,0
37. What is the range of a 6 MeV electron beam in the lung (0.25 g/cm3)?,B. 6 cm,0
37. What is the range of a 6 MeV electron beam in the lung (0.25 g/cm3)?,C. 9 cm,0
37. What is the range of a 6 MeV electron beam in the lung (0.25 g/cm3)?,D. 12 cm,1
38. What is inverse planning in IMRT?,A. Choosing best beam angles.,0
38. What is inverse planning in IMRT?,B. Choosing appropriate beam modifiers such as wedges and compensators.,0
38. What is inverse planning in IMRT?,C. Optimizing beam fluence based on the desired dose constraints.,1
38. What is inverse planning in IMRT?,D. Adding beam block to protect organs at risk.,0
39. What is the purpose of the leaf sequencing algorithm in IMRT planning?,A. It converts optimized fluence to the achievable fluence by MLC.,1
39. What is the purpose of the leaf sequencing algorithm in IMRT planning?,B. It converts cost functions to the optimized fluence.,0
39. What is the purpose of the leaf sequencing algorithm in IMRT planning?,C. It converts achievable fluence to dose.,0
39. What is the purpose of the leaf sequencing algorithm in IMRT planning?,D. It converts desirable constraints to cost functions.,0
40. The dose gradient achievable in an IMRT plan is approximately ___.,A. 0.1%/mm,0
40. The dose gradient achievable in an IMRT plan is approximately ___.,B. 1%/mm,0
40. The dose gradient achievable in an IMRT plan is approximately ___.,C. 10%/mm,1
40. The dose gradient achievable in an IMRT plan is approximately ___.,D. 50%/mm,0
41. Which of the following devices is not appropriate for IMRT patient QA?,A. Electronic portal imaging device,0
41. Which of the following devices is not appropriate for IMRT patient QA?,B. Film and ionization chamber,0
41. Which of the following devices is not appropriate for IMRT patient QA?,C. Diode Array,0
41. Which of the following devices is not appropriate for IMRT patient QA?,D. Single ionization chamber,1
42. Which parameter below is not typically set by a dosimetrist during IMRT treatment planning?,A. Beam energy,0
42. Which parameter below is not typically set by a dosimetrist during IMRT treatment planning?,B. Beam angle,0
42. Which parameter below is not typically set by a dosimetrist during IMRT treatment planning?,C. Beam weight,1
42. Which parameter below is not typically set by a dosimetrist during IMRT treatment planning?,D. Upper and lower dose constraints,0
"43. For material with HU=10, what is the ratio of linear attenuation coefficients between this material to water?",A. 1.01,1
"43. For material with HU=10, what is the ratio of linear attenuation coefficients between this material to water?",B. 1.1,0
"43. For material with HU=10, what is the ratio of linear attenuation coefficients between this material to water?",C. 0.99,0
"43. For material with HU=10, what is the ratio of linear attenuation coefficients between this material to water?",D. 0.9,0
44. Which of the following methods can improve the spatial resolution of CT?,A. Increasing tube voltage.,0
44. Which of the following methods can improve the spatial resolution of CT?,B. Increasing field of view.,0
44. Which of the following methods can improve the spatial resolution of CT?,C. Decreasing field of view.,1
44. Which of the following methods can improve the spatial resolution of CT?,D. Decreasing tube current.,0
45. Why can’t MR images replace CT for accurate dose calculations in radiation therapy?,A. MR images have inferior soft tissue contrast than CT.,0
45. Why can’t MR images replace CT for accurate dose calculations in radiation therapy?,B. MR images have worse spatial resolution than CT.,0
45. Why can’t MR images replace CT for accurate dose calculations in radiation therapy?,C. MR images deliver more ionization doses to the patient than CT.,0
45. Why can’t MR images replace CT for accurate dose calculations in radiation therapy?,D. MR images do not have information about electron density.,1
46. The velocity of ultrasound in soft tissue is 1500 m/s. The time to receive a signal after sending a pulse is 0.1 ms. What is the depth of the anatomical interface?,A. 5 cm,0
46. The velocity of ultrasound in soft tissue is 1500 m/s. The time to receive a signal after sending a pulse is 0.1 ms. What is the depth of the anatomical interface?,B. 7.5 cm,1
46. The velocity of ultrasound in soft tissue is 1500 m/s. The time to receive a signal after sending a pulse is 0.1 ms. What is the depth of the anatomical interface?,C. 10 cm,0
46. The velocity of ultrasound in soft tissue is 1500 m/s. The time to receive a signal after sending a pulse is 0.1 ms. What is the depth of the anatomical interface?,D. 15 cm,0
47. Which of the following imaging modalities utilizes non-ionizing radiation?,A. MRI,1
47. Which of the following imaging modalities utilizes non-ionizing radiation?,B. PET,0
47. Which of the following imaging modalities utilizes non-ionizing radiation?,C. CT,0
47. Which of the following imaging modalities utilizes non-ionizing radiation?,D. Radiograph,0
48. Which of the following statements is true about the spatial resolution of PET images.,A. PET images spatial resolution is better than CT and MRI.,0
48. Which of the following statements is true about the spatial resolution of PET images.,B. PET images spatial resolution increases when the average energy of the emitted positrons decrease.,1
48. Which of the following statements is true about the spatial resolution of PET images.,C. PET images spatial resolution increases when number of detectors in the ring decreases.,0
48. Which of the following statements is true about the spatial resolution of PET images.,D. PET images spatial resolution is better than 1 mm.,0
49. Which information below is not stored in a DICOM RT plan file?,A. Patient name,0
49. Which information below is not stored in a DICOM RT plan file?,B. Treatment angles,0
49. Which information below is not stored in a DICOM RT plan file?,"C. CT scanner parameters, such as kVp, mAs",1
49. Which information below is not stored in a DICOM RT plan file?,D. Prescription dose,0
"50. A 4D CT has 10 phases, 200 slices in each phase. Each slice has 512x512 pixels, where each pixel uses 2 bytes. How long does it take to transfer this 4D CT over the internet with a transfer speed of 2 GB/second?",A. 0.2 s,0
"50. A 4D CT has 10 phases, 200 slices in each phase. Each slice has 512x512 pixels, where each pixel uses 2 bytes. How long does it take to transfer this 4D CT over the internet with a transfer speed of 2 GB/second?",B. 0.5 s,1
"50. A 4D CT has 10 phases, 200 slices in each phase. Each slice has 512x512 pixels, where each pixel uses 2 bytes. How long does it take to transfer this 4D CT over the internet with a transfer speed of 2 GB/second?",C. 1.0 s,0
"50. A 4D CT has 10 phases, 200 slices in each phase. Each slice has 512x512 pixels, where each pixel uses 2 bytes. How long does it take to transfer this 4D CT over the internet with a transfer speed of 2 GB/second?",D. 2.0 s,0
"51. As compared to diagnostic CT, which statement below is not true for CT simulator?",A. CT simulator usually has a larger bore size than diagnostic CT.,0
"51. As compared to diagnostic CT, which statement below is not true for CT simulator?",B. CT simulator gives better image spatial resolution and contrast than diagnostic CT.,1
"51. As compared to diagnostic CT, which statement below is not true for CT simulator?",C. CT simulator needs extra laser for localizing the treatment isocenter.,0
"51. As compared to diagnostic CT, which statement below is not true for CT simulator?",D. CT simulator needs accurate geometry and HU for the whole body.,0
52. Which techniques below do not result in a reduced setup margin for planning target volume (PTV)?,A. Change weekly IGRT to daily IGRT.,0
52. Which techniques below do not result in a reduced setup margin for planning target volume (PTV)?,B. Change the setup from laser to IGRT.,0
52. Which techniques below do not result in a reduced setup margin for planning target volume (PTV)?,C. Add fiducial markers to the target.,0
52. Which techniques below do not result in a reduced setup margin for planning target volume (PTV)?,D. Change 3D CRT plan to IMRT plan.,1
"53. To get the best soft tissue contrast for a head and neck cancer treatment, which IGRT method is preferred?",A. MV portal imaging,0
"53. To get the best soft tissue contrast for a head and neck cancer treatment, which IGRT method is preferred?",B. kV orthogonal planar images,0
"53. To get the best soft tissue contrast for a head and neck cancer treatment, which IGRT method is preferred?",C. kV cone-beam CT,1
"53. To get the best soft tissue contrast for a head and neck cancer treatment, which IGRT method is preferred?",D. Surface imaging,0
54. Which of the following IGRT methods is not used for IMRT treatment?,A. MV portal image.,1
54. Which of the following IGRT methods is not used for IMRT treatment?,B. kV orthogonal planar images.,0
54. Which of the following IGRT methods is not used for IMRT treatment?,C. kV cone-beam CT.,0
54. Which of the following IGRT methods is not used for IMRT treatment?,D. CT on-rail.,0
55. Which IGRT method gives the lowest dose?,A. MV portal image,0
55. Which IGRT method gives the lowest dose?,B. MV cone-beam CT,0
55. Which IGRT method gives the lowest dose?,C. kV orthogonal planar images,1
55. Which IGRT method gives the lowest dose?,D. kV cone-beam CT,0
56. Prostate motion can’t be tracked by ___.,A. Infrared surface imaging.,1
56. Prostate motion can’t be tracked by ___.,B. Implanted RF beacons.,0
56. Prostate motion can’t be tracked by ___.,C. Implanted fiducial markers and fluoroscopy imaging.,0
56. Prostate motion can’t be tracked by ___.,D. MR images in MR-LINAC.,0
57. Which of the following is not an advantage of free-breathing gating for treating a lung tumor?,A. Reduced internal target volume.,0
57. Which of the following is not an advantage of free-breathing gating for treating a lung tumor?,B. Reduced dose to organ at risk.,0
57. Which of the following is not an advantage of free-breathing gating for treating a lung tumor?,C. Reduced treatment time.,1
57. Which of the following is not an advantage of free-breathing gating for treating a lung tumor?,D. Patient is comfortable in free breathing.,0
58. 4D CT is not needed for a ____.,A. tumor near the diaphragm,0
58. 4D CT is not needed for a ____.,B. tumor in the brain,1
58. 4D CT is not needed for a ____.,C. tumor in the lung,0
58. 4D CT is not needed for a ____.,D. tumor in the liver,0
59. ____ is not a method for management of respiratory motion in radiation therapy.,A. Deep-inspiration breath hold (DIBH).,0
59. ____ is not a method for management of respiratory motion in radiation therapy.,B. Real-time tumor tracking.,0
59. ____ is not a method for management of respiratory motion in radiation therapy.,C. IGRT using cone-beam CT.,1
59. ____ is not a method for management of respiratory motion in radiation therapy.,D. Free-breathing respiratory gating.,0
60. The half-life for a radioactive nuclide is 69 days. How much does it decay in one day?,A. 0.5%,0
60. The half-life for a radioactive nuclide is 69 days. How much does it decay in one day?,B. 0.7%,0
60. The half-life for a radioactive nuclide is 69 days. How much does it decay in one day?,C. 1.0%,1
60. The half-life for a radioactive nuclide is 69 days. How much does it decay in one day?,D. 1.5%,0
"61. Which statement is correct for an HDR source, 192Ir, with activity 10 Ci?",A. Its decay rate is equivalent to about 10 grams of 226Ra.,1
"61. Which statement is correct for an HDR source, 192Ir, with activity 10 Ci?",B. Its decay rate is equivalent to about 1 gram of 226Ra.,0
"61. Which statement is correct for an HDR source, 192Ir, with activity 10 Ci?",C. Its decay rate is 37 GBq.,0
"61. Which statement is correct for an HDR source, 192Ir, with activity 10 Ci?",D. Its decay rate is 3.7 GBq.,0
"62. The physical and effective half-lives for an unsealed isotope are 6 hours and 2 hours, respectively. What is the biological half-life?",A. 12 hours,0
"62. The physical and effective half-lives for an unsealed isotope are 6 hours and 2 hours, respectively. What is the biological half-life?",B. 8 hours,0
"62. The physical and effective half-lives for an unsealed isotope are 6 hours and 2 hours, respectively. What is the biological half-life?",C. 4 hours,0
"62. The physical and effective half-lives for an unsealed isotope are 6 hours and 2 hours, respectively. What is the biological half-life?",D. 3 hours,1
63. What is the initial dose rate for a prostate 125I seed implant to deliver a total dose of 120 Gy?,A. 4.9 cGy/h,0
63. What is the initial dose rate for a prostate 125I seed implant to deliver a total dose of 120 Gy?,B. 5.9 cGy/h,1
63. What is the initial dose rate for a prostate 125I seed implant to deliver a total dose of 120 Gy?,C. 7.0 cGy/h,0
63. What is the initial dose rate for a prostate 125I seed implant to deliver a total dose of 120 Gy?,D. 7.9 cGy/h,0
"64. According to AAPM TG-43, ___ has the greatest anisotropy correction.",A. 192Ir,0
"64. According to AAPM TG-43, ___ has the greatest anisotropy correction.",B. 137Cs,0
"64. According to AAPM TG-43, ___ has the greatest anisotropy correction.",C. 226Ra,0
"64. According to AAPM TG-43, ___ has the greatest anisotropy correction.",D. 125I,1
65. Which of the following is not a limitation of AAPM TG-43?,A. The absorption and scattering in the source is not considered.,1
65. Which of the following is not a limitation of AAPM TG-43?,B. The applicator is treated as water.,0
